title,description,year,rating,director,writers,stars
The Handmaiden,"In 1930s Korea, a girl is hired as a handmaiden to a Japanese heiress who lives a secluded life on a countryside estate. But the maid has a secret: She is a pickpocket recruited by a swindler to help seduce the Lady and steal her fortune.",2016,8.1,['Park Chan-wook'],"['Sarah Waters', 'Chung Seo-kyung', 'Park Chan-wook']","['Kim Min-hee', 'Ha Jung-woo', 'Cho Jin-woong']"
The Battle of Algiers,"In the 1950s, fear and violence escalate as the people of Algiers fight for independence from the French government.",1966,8.1,['Gillo Pontecorvo'],"['Franco Solinas', 'Gillo Pontecorvo']","['Brahim Hadjadj', 'Jean Martin', 'Yacef Saadi']"
The Grapes of Wrath,"An Oklahoma family, driven off their farm by the poverty and hopelessness of the Dust Bowl, joins the westward migration to California, suffering the misfortunes of the homeless in the Great Depression.",1940,8.1,['John Ford'],"['Nunnally Johnson', 'John Steinbeck']","['Henry Fonda', 'Jane Darwell', 'John Carradine']"
To Be or Not to Be,"During the German occupation of Poland, an acting troupe becomes embroiled in a Polish soldier's efforts to track down a German spy.",1942,8.1,['Ernst Lubitsch'],"['Melchior Lengyel', 'Edwin Justus Mayer', 'Ernst Lubitsch']","['Carole Lombard', 'Jack Benny', 'Robert Stack']"
Into the Wild,"After graduating from Emory University, top student and athlete Christopher McCandless abandons his possessions, gives his entire $24,000 savings account to charity and hitchhikes to Alaska to live in the wilderness.",2007,8.0,['Sean Penn'],"['Sean Penn', 'Jon Krakauer']","['Emile Hirsch', 'Vince Vaughn', 'Catherine Keener']"
Groundhog Day,"A narcissistic, self-centered weatherman finds himself in a time loop on Groundhog Day.",1993,8.0,['Harold Ramis'],"['Danny Rubin', 'Harold Ramis']","['Bill Murray', 'Andie MacDowell', 'Chris Elliott']"
The Help,"An aspiring author during the civil rights movement of the 1960s decides to write a book detailing the African American maids' point of view on the white families for which they work, and the hardships they go through on a daily basis.",2011,8.1,['Tate Taylor'],"['Tate Taylor', 'Kathryn Stockett']","['Viola Davis', 'Emma Stone', 'Octavia Spencer']"
Gangs of Wasseypur,"A clash between Sultan and Shahid Khan leads to the expulsion of Khan from Wasseypur, and ignites a deadly blood feud spanning three generations.",2012,8.2,['Anurag Kashyap'],"['Akhilesh Jaiswal', 'Anurag Kashyap', 'Sachin K. Ladia']","['Manoj Bajpayee', 'Nawazuddin Siddiqui', 'Tigmanshu Dhulia']"
Drishyam,"Desperate measures are taken by a man who tries to save his family from the dark side of the law, after they commit an unexpected crime.",2015,8.2,['Nishikant Kamat'],"['Jeethu Joseph', 'Upendra Sidhaye']","['Ajay Devgn', 'Shriya Saran', 'Tabu']"
Andhadhun,"A series of mysterious events change the life of a blind pianist, who must now report a crime that he should technically know nothing of.",2018,8.2,['Sriram Raghavan'],"['Arijit Biswas', 'Yogesh Chandekar', 'Sriram Raghavan']","['Ayushmann Khurrana', 'Tabu', 'Radhika Apte']"
Amores Perros,"An amateur dog fighter, a supermodel, and a derelict assassin, all separately struggling to find love, find their lives transformed by a devastating car wreck in Mexico City.",2000,8.0,['Alejandro G. Iñárritu'],[],"['Emilio Echevarría', 'Gael García Bernal', 'Goya Toledo']"
